企業名,店コード,店名,実績期間FROM,実績期間TO,ゴンドラコード,ゴンドラ名,総売上金額合計,定番売上金額合計,定番売上金額,定番10CM当り売上,総売上金額,定番荒利金額,総荒利金額
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,224,000224      ,346778842,300133873,84466,20,84466,22608,22608
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,225,000225      ,346778842,300133873,69133,20,69133,18504,18504
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,231,000231      ,346778842,300133873,116467,30,116467,29822,29822
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,232,000232      ,346778842,300133873,60401,20,60401,15466,15466
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,255,000255      ,346778842,300133873,16015,10,16015,4953,4953
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,307,000307      ,346778842,300133873,341637,340,341637,70374,70374
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,308,000308      ,346778842,300133873,199714,190,199714,28884,28884
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,309,000309      ,346778842,300133873,127400,120,127400,29900,29900
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,310,000310      ,346778842,300133873,13596,10,13596,2931,2931
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,314,000314      ,346778842,300133873,454242,450,454242,101501,101501
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,315,000315      ,346778842,300133873,381774,380,381774,86116,86116
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,316,000316      ,346778842,300133873,686741,110,686741,147100,147100
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,318,000318      ,346778842,300133873,121379,120,121379,32974,32974
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,319,000319      ,346778842,300133873,0,0,0,0,0
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,320,000320      ,346778842,300133873,0,0,0,0,0
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,400,雑貨      ,346778842,300133873,6156,680,6156,1254,1254
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,404,雑貨      ,346778842,300133873,46079,730,46079,13084,13084
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,405,雑貨      ,346778842,300133873,16776,260,16776,5178,5178
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,406,雑貨      ,346778842,300133873,49856,790,49856,12038,12038
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,407,雑貨      ,346778842,300133873,192944,3570,306072,33754,46312
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,408,雑貨      ,346778842,300133873,36622,670,36622,8982,8982
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,409,雑貨      ,346778842,300133873,71135,1310,71135,19440,19440
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,410,雑貨      ,346778842,300133873,8827,140,8827,2364,2364
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,411,雑貨      ,346778842,300133873,38411,710,38411,10670,10670
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,412,雑貨      ,346778842,300133873,53420,980,53420,15249,15249
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,413,雑貨      ,346778842,300133873,31089,570,31089,8649,8649
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,414,雑貨      ,346778842,300133873,31749,580,31749,8535,8535
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,415,雑貨      ,346778842,300133873,245431,4540,516370,68153,99543
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,416,雑貨      ,346778842,300133873,262247,5820,778835,58375,84989
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,417,雑貨      ,346778842,300133873,340168,7550,499763,86345,113327
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,418,雑貨      ,346778842,300133873,252903,3510,353473,70148,82578
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,419,雑貨      ,346778842,300133873,343974,5450,437537,84394,93003
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,420,雑貨      ,346778842,300133873,339849,5390,406881,83757,98404
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,421,雑貨      ,346778842,300133873,414009,9200,483267,88481,104552
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,422,雑貨      ,346778842,300133873,140441,2600,140441,32752,32752
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,423,雑貨      ,346778842,300133873,204586,4540,204586,29347,29347
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,424,雑貨      ,346778842,300133873,90688,5030,121382,11913,12222
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,425,雑貨      ,346778842,300133873,59804,3320,86504,9459,6909
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,426,雑貨      ,346778842,300133873,168290,9340,319499,14012,15914
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,427,雑貨      ,346778842,300133873,63396,7040,63396,9846,9846
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,502,雑貨      ,346778842,300133873,220728,4080,506229,39957,46114
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,503,雑貨      ,346778842,300133873,192422,3560,297693,32230,26780
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,504,雑貨      ,346778842,300133873,85803,1900,85803,18012,18012
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,505,雑貨      ,346778842,300133873,162620,3010,201074,22720,28143
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,506,雑貨      ,346778842,300133873,159129,2940,159129,35865,35865
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,507,雑貨      ,346778842,300133873,163475,2590,182087,46756,49557
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,508,雑貨      ,346778842,300133873,104486,1650,104486,30644,30644
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,509,雑貨      ,346778842,300133873,87296,1380,87296,25865,25865
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,510,雑貨      ,346778842,300133873,21077,1170,21077,6085,6085
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,512,雑貨      ,346778842,300133873,38488,1060,38488,12375,12375
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,513,雑貨      ,346778842,300133873,59878,1660,59878,18920,18920
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,516,雑貨      ,346778842,300133873,27292,600,27292,7436,7436
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,517,雑貨      ,346778842,300133873,220450,4080,256397,70946,81672
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,518,雑貨      ,346778842,300133873,55664,880,55664,13801,13801
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,519,雑貨      ,346778842,300133873,107064,1690,151080,29822,38341
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,520,雑貨      ,346778842,300133873,57965,920,57965,15779,15779
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,521,雑貨      ,346778842,300133873,59879,1100,59879,15890,15890
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,523,雑貨      ,346778842,300133873,18322,2030,18322,5244,5244
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,524,雑貨      ,346778842,300133873,14726,270,14726,5476,5476
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,525,雑貨      ,346778842,300133873,20410,450,20410,7175,7175
